,Name,UniqeIdentifier,No.,name_url,HP,Att,Def,S.Att,S.Def,Spd,Ph.Sweep,Sp.Sweep,Wall,Ph.Tank,Sp.Tank,PrimaryType,SecondaryType,Ability,Ability Gen,Ability Category,Activation Requirement,Gen,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary,final_stage,regional_form
263,Entei,244enteiPressure2,244,entei,115,115,85,90,75,100,215,190,275,200,165,fire,,Pressure,3,Stats Affected,No,2,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,2.1,198.0,3,35,10240,Slow,0,1,1,0
264,Escavalier,589escavalierSwarm5,589,escavalier,70,135,105,60,105,20,155,80,280,240,165,bug,steel,Swarm,3,Conditional Power Boosts,Yes,5,50.2,49.8,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,33.0,75,50,1920,Medium Fast,0,0,1,0
265,Espathra,956espathraOpportunist9,956,espathra,95,60,60,101,60,105,165,206,215,120,161,psychic,,Opportunist,9,Ability Interaction,No,9,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.9,90.0,60,50,2560,Medium Slow,0,0,1,0
266,Espeon,196espeonSynchronize2,196,espeon,65,65,60,130,95,110,175,240,220,125,225,psychic,,Synchronize,3,Status Affected,No,2,88.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.9,26.5,45,50,4480,Medium Fast,0,0,1,0
267,Espurr,677espurrKeen Eye6,677,espurr,62,48,54,63,60,68,116,131,176,102,123,psychic,,Keen Eye,3,Damage Modification,Yes,6,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3,3.5,190,50,2560,Medium Fast,0,0,0,0
268,Eternatus,890eternatusPressure8,890,eternatus,140,85,95,145,95,130,215,275,330,180,240,poison,dragon,Pressure,3,Stats Affected,No,8,0.0,0.0,1.0,0.5,0.5,0.5,0.25,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,20.0,950.0,255,0,15360,Slow,0,1,1,0
269,Excadrill,530excadrillSand Rush5,530,excadrill,110,135,60,50,65,88,223,138,235,195,115,ground,steel,Sand Rush,5,Stats Affected,Yes,5,50.0,50.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,0.7,40.4,60,50,2560,Medium Fast,0,0,1,0
270,Exeggcute,102exeggcuteChlorophyll1,102,exeggcute,60,40,80,60,45,40,80,100,185,120,105,grass,psychic,Chlorophyll,3,Stats Affected,Yes,1,50.0,50.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0.4,2.5,90,50,2560,Slow,0,0,0,0
271,Exeggutor,103exeggutorChlorophyll1,103,exeggutor,95,95,85,125,75,55,150,180,255,180,200,grass,psychic,Chlorophyll,3,Stats Affected,Yes,1,50.0,50.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,10.9,415.6,45,50,2560,Slow,0,0,1,0
272,Exploud,295exploudSoundproof3,295,exploud,104,91,63,91,73,68,159,159,240,154,164,normal,,Soundproof,3,Damage Modification,No,3,50.2,49.8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,84.0,45,50,2560,Medium Slow,0,0,1,0
273,Falinks,870falinksBattle Armor8,870,falinks,65,100,100,70,60,75,175,145,225,200,130,fighting,,Battle Armor,3,Critical Hit Interaction,Yes,8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,3.0,62.0,45,50,3200,Medium Fast,0,0,1,0
274,Farfetch'd,83farfetch'dKeen Eye1,83,farfetch'd,52,90,55,58,62,60,150,118,169,145,120,normal,flying,Keen Eye,3,Damage Modification,Yes,1,50.2,49.8,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.8,42.0,45,50,2560,Medium Fast,0,0,1,0
275,Farigiraf,981farigirafCud Chew9,981,farigiraf,120,90,70,110,70,60,150,170,260,160,180,normal,psychic,Cud Chew,9,Miscellaneous,No,9,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.2,160.0,45,50,2560,Medium Fast,0,0,1,0
276,Fearow,22fearowKeen Eye1,22,fearow,65,90,65,61,61,100,190,161,191,155,122,normal,flying,Keen Eye,3,Damage Modification,Yes,1,50.2,49.8,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.2,38.0,90,50,1920,Medium Fast,0,0,1,0
277,Feebas,349feebasSwift Swim3,349,feebas,20,15,20,10,55,80,95,90,95,35,65,water,,Swift Swim,3,Stats Affected,Yes,3,50.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,7.4,255,50,2560,Erratic,0,0,0,0
278,Fennekin,653fennekinBlaze6,653,fennekin,40,45,40,62,60,60,105,122,140,85,122,fire,,Blaze,3,Conditional Power Boosts,Yes,6,88.0,12.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.4,9.4,45,50,2560,Medium Slow,0,0,0,0
279,Feraligatr,160feraligatrTorrent2,160,feraligatr,85,105,100,79,83,78,183,157,268,205,162,water,,Torrent,3,Conditional Power Boosts,Yes,2,88.0,12.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.3,88.8,45,50,2560,Medium Slow,0,0,1,0
280,Ferroseed,597ferroseedIron Barbs5,597,ferroseed,44,50,91,24,86,10,60,34,221,141,110,grass,steel,Iron Barbs,5,Miscellaneous,Yes,5,50.2,49.8,0.5,4.0,0.5,0.5,0.25,1.0,2.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.6,18.8,255,50,2560,Medium Fast,0,0,0,0
281,Ferrothorn,598ferrothornIron Barbs5,598,ferrothorn,74,94,131,54,116,20,114,74,321,225,170,grass,steel,Iron Barbs,5,Miscellaneous,Yes,5,50.2,49.8,0.5,4.0,0.5,0.5,0.25,1.0,2.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,110.0,90,50,2560,Medium Fast,0,0,1,0
282,Fezandipiti,1016fezandipitiToxic Chain9,1016,fezandipiti,88,91,82,70,125,99,190,169,295,173,195,poison,fairy,Toxic Chain,9,Status Affected,Yes,9,100.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.5,2.0,0.5,1.4,30.1,3,0,15360,Slow,0,1,1,0
283,Fidough,926fidoughOwn Tempo9,926,fidough,37,55,70,30,55,65,120,95,162,125,85,fairy,,Own Tempo,3,Damage Modification,Yes,9,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.3,10.9,190,50,2560,Medium Slow,0,0,0,0
284,Finizen,963finizenWater Veil9,963,finizen,70,45,40,45,40,75,120,120,150,85,85,water,,Water Veil,3,Status Affected,Yes,9,50.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.3,60.2,200,50,5120,Slow,0,0,0,0
285,Finneon,456finneonSwift Swim4,456,finneon,49,49,56,49,61,66,115,115,166,105,110,water,,Swift Swim,3,Stats Affected,Yes,4,50.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.4,7.0,190,50,2560,Erratic,0,0,0,0
286,Flaaffy,180flaaffyStatic2,180,flaaffy,70,55,55,80,60,45,100,125,185,110,140,electric,,Static,3,Stats Affected,No,2,50.0,50.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8,13.3,120,50,2560,Medium Slow,0,0,0,0
287,Flabébé,669flabebeFlower Veil6,669,flabebe,44,38,39,61,79,42,80,103,162,77,140,fairy,,Flower Veil,6,Stats Affected,Yes,6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.1,0.1,225,50,2560,Medium Fast,0,0,0,0
288,Flamigo,973flamigoScrappy9,973,flamigo,82,115,74,75,64,90,205,165,220,189,139,flying,fighting,Scrappy,4,Type Advantage and Manipulation,No,9,50.0,50.0,1.0,1.0,1.0,2.0,0.5,2.0,0.5,1.0,0.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,1.0,2.0,1.6,37.0,100,50,2560,Medium Slow,0,0,1,0
289,Flapple,841flappleRipen8,841,flapple,70,110,80,95,60,70,180,165,210,190,155,grass,dragon,Ripen,8,Miscellaneous,No,8,50.0,50.0,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.3,1.0,45,50,2560,Erratic,0,0,1,0
290,Flareon,136flareonFlash Fire1,136,flareon,65,130,60,95,110,65,195,160,235,190,205,fire,,Flash Fire,3,Conditional Power Boosts,Yes,1,88.0,12.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.9,25.0,45,50,4480,Medium Fast,0,0,1,0
291,Fletchinder,662fletchinderFlame Body6,662,fletchinder,62,73,55,56,52,84,157,140,169,128,108,fire,flying,Flame Body,3,Status Affected,No,6,50.0,50.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,0.7,16.0,120,50,1920,Medium Slow,0,0,0,0
292,Fletchling,661fletchlingBig Pecks6,661,fletchling,45,50,43,40,38,62,112,102,126,93,78,normal,flying,Big Pecks,5,Damage Modification,Yes,6,50.0,50.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.3,1.7,255,50,1920,Medium Slow,0,0,0,0
293,Flittle,955flittleAnticipation9,955,flittle,30,35,30,55,30,75,110,130,90,65,85,psychic,,Anticipation,4,Miscellaneous,No,9,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.2,1.5,120,50,2560,Medium Slow,0,0,0,0
294,Floatzel,419floatzelSwift Swim4,419,floatzel,85,105,55,85,50,115,220,200,190,160,135,water,,Swift Swim,3,Stats Affected,Yes,4,50.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.1,33.5,75,50,2560,Medium Fast,0,0,1,0
295,Floette,670floetteFlower Veil6,670,floette,54,45,47,75,98,52,97,127,199,92,173,fairy,,Flower Veil,6,Stats Affected,Yes,6,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.2,0.9,120,50,2560,Medium Fast,0,0,0,0
296,Floragato,907floragatoOvergrow9,907,floragato,61,80,63,60,63,83,163,143,187,143,123,grass,,Overgrow,3,Conditional Power Boosts,Yes,9,88.0,12.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,12.2,45,50,2560,Medium Slow,0,0,0,0
297,Florges,671florgesFlower Veil6,671,florges,78,65,68,112,154,75,140,187,300,133,266,fairy,,Flower Veil,6,Stats Affected,Yes,6,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,1.1,10.0,45,50,2560,Medium Fast,0,0,1,0
298,Flutter Mane,987fluttermaneProtosynthesis9,987,fluttermane,55,55,55,135,135,135,190,270,245,110,270,ghost,fairy,Protosynthesis,9,Stats Affected,Yes,9,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,2.0,0.0,1.0,2.0,1.0,1.4,4.0,30,0,6400,Slow,0,0,1,0
299,Flygon,330flygonLevitate3,330,flygon,80,100,80,80,80,100,200,180,240,180,160,ground,dragon,Levitate,3,Type Advantage and Manipulation,No,3,50.0,50.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,2.0,82.0,45,50,2560,Medium Slow,0,0,1,0
300,Fomantis,753fomantisLeaf Guard7,753,fomantis,40,55,35,50,35,35,90,85,110,90,85,grass,,Leaf Guard,4,Stats Affected,Yes,7,50.0,50.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.5,190,50,2560,Medium Fast,0,0,0,0
301,Foongus,590foongusEffect Spore5,590,foongus,69,55,45,55,55,15,70,70,169,100,110,grass,poison,Effect Spore,3,Status Affected,No,5,50.0,50.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,1.0,190,50,2560,Medium Fast,0,0,0,0
302,Forretress,205forretressSturdy2,205,forretress,75,90,140,60,60,40,130,100,275,230,120,bug,steel,Sturdy,3,Damage Modification,No,2,50.0,50.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.2,125.8,75,50,2560,Medium Fast,0,0,1,0
303,Fraxure,611fraxureRivalry5,611,fraxure,66,117,70,40,50,67,184,107,186,187,90,dragon,,Rivalry,4,Stats Affected,No,5,50.0,50.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,36.0,60,35,5120,Slow,0,0,0,0
304,Frigibax,996frigibaxThermal Exchange9,996,frigibax,65,75,45,35,45,55,130,90,155,120,80,dragon,ice,Thermal Exchange,9,Status Affected,Yes,9,50.0,50.0,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.5,17.0,45,50,5120,Slow,0,0,0,0
305,Frillish,592frillishWater Absorb5,592,frillish,55,40,50,65,85,40,80,105,190,90,150,water,ghost,Water Absorb,3,Healing,Yes,5,50.2,49.8,0.0,0.5,0.0,2.0,2.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0,1.2,33.0,190,50,2560,Medium Fast,0,0,0,0
306,Froakie,656froakieTorrent6,656,froakie,41,56,40,62,44,71,127,133,125,96,106,water,,Torrent,3,Conditional Power Boosts,Yes,6,88.0,12.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3,7.0,45,50,2560,Medium Slow,0,0,0,0
307,Frogadier,657frogadierTorrent6,657,frogadier,54,63,52,83,56,97,160,180,162,115,139,water,,Torrent,3,Conditional Power Boosts,Yes,6,88.0,12.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,10.9,45,50,2560,Medium Slow,0,0,0,0
308,Froslass,478froslassSnow Cloak4,478,froslass,70,80,70,80,70,110,190,190,210,150,150,ice,ghost,Snow Cloak,4,Stats Affected,Yes,4,0.0,100.0,0.0,2.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0,1.3,26.6,75,50,2560,Medium Fast,0,0,1,0
309,Frosmoth,873frosmothShield Dust8,873,frosmoth,70,65,60,125,90,65,130,190,220,125,215,ice,bug,Shield Dust,3,Miscellaneous,No,8,50.0,50.0,1.0,4.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.3,42.0,75,50,2560,Medium Fast,0,0,1,0
310,Fuecoco,909fuecocoBlaze9,909,fuecoco,67,45,59,63,40,36,81,99,166,104,103,fire,,Blaze,3,Conditional Power Boosts,Yes,9,88.0,12.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.4,9.8,45,50,2560,Medium Slow,0,0,0,0
311,Furfrou,676furfrouFur Coat6,676,furfrou,75,80,60,65,90,102,182,167,225,140,155,normal,,Fur Coat,6,Damage Modification,No,6,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.2,28.0,160,70,5120,Medium Fast,0,0,1,0
312,Furret,162furretRun Away2,162,furret,85,76,64,45,55,90,166,135,204,140,100,normal,,Run Away,3,Miscellaneous,No,2,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.8,32.5,90,50,1920,Medium Fast,0,0,1,0
313,Gabite,444gabiteSand Veil4,444,gabite,68,90,65,50,55,82,172,132,188,155,105,dragon,ground,Sand Veil,3,Weather,Yes,4,50.0,50.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,1.4,56.0,45,50,5120,Slow,0,0,0,0
314,Gallade,475galladeSteadfast4,475,gallade,68,125,65,65,115,80,205,145,248,190,180,psychic,fighting,Steadfast,4,Stats Affected,Yes,4,100.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.6,52.0,45,35,2560,Slow,1,0,1,0
315,Galvantula,596galvantulaCompound Eyes5,596,galvantula,70,77,60,97,60,108,185,205,190,137,157,bug,electric,Compound Eyes,3,Stats Affected,No,5,50.0,50.0,1.0,2.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.8,14.3,75,50,2560,Medium Fast,0,0,1,0
316,Garbodor,569garbodorStench5,569,garbodor,80,95,82,60,82,75,170,135,244,177,142,poison,,Stench,3,Stats Affected,Yes,5,50.2,49.8,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.9,107.3,60,50,2560,Medium Fast,0,0,1,0
317,Garchomp,445garchompSand Veil4,445,garchomp,108,130,95,80,85,102,232,182,288,225,165,dragon,ground,Sand Veil,3,Weather,Yes,4,50.0,50.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,1.9,95.0,45,50,5120,Slow,1,0,1,0
318,Gardevoir,282gardevoirSynchronize3,282,gardevoir,68,65,65,125,115,80,145,205,248,130,240,psychic,fairy,Synchronize,3,Status Affected,No,3,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.6,48.4,45,35,2560,Slow,1,0,1,0
319,Garganacl,934garganaclPurifying Salt9,934,garganacl,100,100,130,45,90,35,135,80,320,230,135,rock,,Purifying Salt,9,Damage Modification,No,9,50.0,50.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.3,240.0,45,50,2560,Medium Slow,0,0,1,0
320,Gastly,92gastlyLevitate1,92,gastly,30,35,30,100,35,80,115,180,95,65,135,ghost,poison,Levitate,3,Type Advantage and Manipulation,No,1,50.0,50.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5,1.3,0.1,190,50,2560,Medium Slow,0,0,0,0
321,Gastrodon,423gastrodonSticky Hold4,423,gastrodon,111,83,68,92,82,39,122,131,261,151,174,water,ground,Sticky Hold,3,Damage Modification,No,4,50.0,50.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.9,29.9,75,50,2560,Medium Fast,0,0,1,0
322,Genesect,649genesectDownload5,649,genesect,71,120,95,120,95,99,219,219,261,215,215,bug,steel,Download,4,Miscellaneous,Yes,5,0.0,0.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.5,82.5,3,0,15360,Slow,0,1,1,0
323,Gengar,94gengarCursed Body1,94,gengar,60,65,60,130,75,110,175,240,195,125,205,ghost,poison,Cursed Body,5,Miscellaneous,No,1,50.0,50.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5,1.5,40.5,45,50,2560,Medium Slow,1,0,1,0
324,Geodude,74geodudeRock Head1,74,geodude,40,80,100,30,30,20,100,50,170,180,60,rock,ground,Rock Head,3,Damage Modification,No,1,50.0,50.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.4,20.3,255,50,1920,Medium Slow,0,0,0,0
325,Gholdengo,1000gholdengoGood as Gold9,1000,gholdengo,87,60,95,133,91,84,144,217,273,155,224,steel,ghost,Good as Gold,9,Status Affected,No,9,0.0,0.0,0.0,2.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,0.5,0.5,0.25,0.5,2.0,0.5,2.0,0.5,0.5,1.2,30.0,45,50,6400,Slow,0,0,1,0
326,Gible,443gibleSand Veil4,443,gible,58,70,45,40,45,42,112,82,148,115,85,dragon,ground,Sand Veil,3,Weather,Yes,4,50.0,50.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0.7,20.5,45,50,5120,Slow,0,0,0,0
327,Gigalith,526gigalithSturdy5,526,gigalith,85,135,130,60,80,25,160,85,295,265,140,rock,,Sturdy,3,Damage Modification,No,5,50.2,49.8,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.7,260.0,45,50,1920,Medium Slow,0,0,1,0
328,Gimmighoul,999gimmighoulRattled9,999,gimmighoul,45,30,70,75,70,10,40,85,185,100,145,ghost,,Rattled,5,Stats Affected,No,9,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,0.3,5.0,45,50,6400,Slow,0,0,0,0
329,Girafarig,203girafarigInner Focus2,203,girafarig,70,80,65,90,65,85,165,175,200,145,155,normal,psychic,Inner Focus,3,Miscellaneous,Yes,2,50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.5,41.5,60,50,2560,Medium Fast,0,0,0,0
330,Giratina,487giratinaPressure4,487,giratina,150,100,120,100,120,90,190,190,390,220,220,ghost,dragon,Pressure,3,Stats Affected,No,4,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0,4.5,750.0,3,0,15360,Slow,0,1,1,0
331,Glaceon,471glaceonSnow Cloak4,471,glaceon,65,60,110,130,95,65,125,195,270,170,225,ice,,Snow Cloak,4,Stats Affected,Yes,4,88.0,12.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.8,25.9,45,35,4480,Medium Fast,0,0,1,0
332,Glalie,362glalieInner Focus3,362,glalie,80,80,80,80,80,80,160,160,240,160,160,ice,,Inner Focus,3,Miscellaneous,Yes,3,50.0,50.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.5,256.5,75,50,2560,Medium Fast,1,0,1,0
333,Glameow,431glameowLimber4,431,glameow,49,55,42,42,37,85,140,127,128,97,79,normal,,Limber,3,Miscellaneous,No,4,24.9,75.1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,3.9,190,50,2560,Fast,0,0,0,0
334,Glastrier,896glastrierChilling Neigh8,896,glastrier,100,145,130,65,110,30,175,95,340,275,175,ice,,Chilling Neigh,8,Conditional Power Boosts,Yes,8,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.2,800.0,3,35,15360,Slow,0,1,1,0
335,Gligar,207gligarHyper Cutter2,207,gligar,65,75,105,35,65,85,160,120,235,180,100,ground,flying,Hyper Cutter,3,Stats Affected,Yes,2,50.0,50.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.1,64.8,60,50,2560,Medium Slow,0,0,0,0
336,Glimmet,969glimmetToxic Debris9,969,glimmet,48,35,42,105,60,60,95,165,150,77,165,rock,poison,Toxic Debris,9,Status Affected,Yes,9,50.0,50.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.7,8.0,70,50,3840,Medium Slow,0,0,0,0
